구군,콘텐츠명,위도,경도,주소,연락처,상세내용,이미지
강서구,만드리곤드레밥,35.177387,128.95245,강서구 공항앞길 85번길 13,051-941-3669,"곤드레밥에는 일반적으로 건조 곤드레나물이 사용되는데,이곳은 생 곤드레나물을 사용하여 돌솥밥을 만든다.된장찌개와 함께 열 가지가 넘는 반찬이 제공되는 돌솥곤드레정식이 인기있다",song/image/sample_image.png
강서구,만호갈미샤브샤브,35.101425,128.92914,강서구 르노삼성대로 602,051-271-4389,"샤브샤브, 수육, 구이 등 다양한 방식으로 갈미조개를 요리하는 갈미조개 전문 식당. 국물이 맛있기로 유명한 이곳은 갈미샤브샤브와 갈미수육이 대표메뉴이다.",song/image/sample_image.png
강서구,민물가든,35.16055,128.89468,강서구 둔치중앙길5(봉림동),051-971-8428,"30년간 운영해온 생선찜전문점으로, 전통방식인 나무통을 사용하여 조리하는 것이 특징이다. 20가지 이상의 재료로 만든 양념을 사용하는 이 곳은 묵은지 붕어조림과 붕어찜이 대표메뉴이다.",song/image/sample_image.png
영도구,부흥식당,35.085815,129.04071,영도구 절영로 104,051-417-0227,영도의 유명한 제주 자리돔전문점으로 싱싱한 자리돔과 직접 만든 양념장의 맛이 무척 잘 어울린다.당일 판매 할 수 있는 한정된 양만 판매하고 있는 이곳은 제주갈치 요리로도 유명하다.,song/image/sample_image.png
부산진구,사미헌,35.159008,129.05666,부산진구 서면문화로 19,051-819-6677,유명한 한우전문점으로 국내 외 유명정상들이 방문했던 곳이기도 한 이 곳은숙련된 한우 명장이 꼼꼼하고 정직하게 준비한 수준 높은 한우를 만날 수 있다 .개별 룸이 잘 갖춰져 있어 각종 연회나 행사로도 많이 찾는 곳이다.,song/image/sample_image.png
부산진구,원조할매집,35.142147,129.06017,부산진구 골드테마길 10,051-643-5037,1968년부터 운영 중인 이곳을 소개하는 것은 딱 한마디면 충분하다.부산의 향토음식인 ‘조방낙지’가 시작된 곳. 더 이상 무슨 설명이 필요 하겠는가,song/image/sample_image.png
연제구,가야할매밀면,35.185196,129.07988,부산 연제구 월드컵대로 145번길 32,051-865-8017,"유명한 밀면전문점으로, 밀가루에 옥수수 전분을 섞어, 다른 밀면전문점들보다 더 탄력있는 면이 특징이다. 육수는 돼지뼈와 소뼈에 각종 야채와 여러 한약재를 섞어 만들고, 사이드 메뉴인 만두도 인기 있다.",song/image/sample_image.png
연제구,국제밀면본점,35.19689,129.07785,연제구 중앙대로1235번길 23-6,051-501-5507,"밀면전문점 중에서도 특히 맛으로 소문난 이곳은소 사골만을 사용한 육수 등 독창적인 방식의 밀면을 만들고 있다. 보통 기계로 잘려진 편육이 고명으로 올려지는데, 이곳은 손으로 일일이 얇게 찢은 양지머리 고기가 올려지는 것이 특징이다.",song/image/sample_image.png
중구,가야밀면,35.098934,129.03122,중구 광복로 56-14,051-246-3314,"깔끔한 맛의 육수가 인상적인 40년 전통의 밀면 전문점으로, 식사시간에는 항상 긴 줄이 늘어서 있지만 140석을 갖춘 넓은 매장으로 인해 웨이팅 시간은 짧은 편. 항상 청결하게 관리되고 있는 기분 좋은 식당이다.",song/image/sample_image.png
중구,김해식당,35.09748,129.02994,중구 자갈치로 51-2,051-255-8242,TV프로그램에도 자주 소개되는 유명한 아귀요리전문점으로1980년부터 생 아귀를 이용한 음식들을 만들고 있다.푸짐하고 신선한 아귀와 아귀 특수부위를 함께 먹을 수 있으며 외국인들도 즐겨 찾는 식당이다.,song/image/sample_image.png
